year_month;Value;INDICATOR
2000-04;2.547827;INTEREST_RATE_SARON
2000-05;3.047974;INTEREST_RATE_SARON
2000-06;3.054887;INTEREST_RATE_SARON
2000-07;2.778948;INTEREST_RATE_SARON
2000-08;3.125945;INTEREST_RATE_SARON
2000-09;2.991287;INTEREST_RATE_SARON
2000-10;2.967391;INTEREST_RATE_SARON
2000-11;2.955805;INTEREST_RATE_SARON
2000-12;3.490226;INTEREST_RATE_SARON
2001-01;3.308556;INTEREST_RATE_SARON
2001-02;3.282052;INTEREST_RATE_SARON
2001-03;3.250111;INTEREST_RATE_SARON
2001-04;3.085493;INTEREST_RATE_SARON
2001-05;3.275508;INTEREST_RATE_SARON
2001-06;3.283814;INTEREST_RATE_SARON
2001-07;3.226346;INTEREST_RATE_SARON
2001-08;3.123531;INTEREST_RATE_SARON
2001-09;2.027698;INTEREST_RATE_SARON
2001-10;2.118133;INTEREST_RATE_SARON
2001-11;1.960142;INTEREST_RATE_SARON
2001-12;1.469348;INTEREST_RATE_SARON
2002-01;1.203506;INTEREST_RATE_SARON
2002-02;1.571053;INTEREST_RATE_SARON
2002-03;1.202675;INTEREST_RATE_SARON
2002-04;1.418686;INTEREST_RATE_SARON
2002-05;0.974746;INTEREST_RATE_SARON
2002-06;0.937309;INTEREST_RATE_SARON
2002-07;0.703175;INTEREST_RATE_SARON
2002-08;0.603556;INTEREST_RATE_SARON
2002-09;0.50856;INTEREST_RATE_SARON
2002-10;0.517184;INTEREST_RATE_SARON
2002-11;0.506908;INTEREST_RATE_SARON
2002-12;0.362647;INTEREST_RATE_SARON
2003-01;0.486557;INTEREST_RATE_SARON
2003-02;0.562408;INTEREST_RATE_SARON
2003-03;0.177559;INTEREST_RATE_SARON
2003-04;0.094747;INTEREST_RATE_SARON
2003-05;0.13474;INTEREST_RATE_SARON
2003-06;0.14823;INTEREST_RATE_SARON
2003-07;0.111008;INTEREST_RATE_SARON
2003-08;0.053337;INTEREST_RATE_SARON
2003-09;0.145845;INTEREST_RATE_SARON
2003-10;0.113241;INTEREST_RATE_SARON
2003-11;0.117566;INTEREST_RATE_SARON
2003-12;0.126631;INTEREST_RATE_SARON
2004-01;0.098549;INTEREST_RATE_SARON
2004-02;0.100093;INTEREST_RATE_SARON
2004-03;0.110365;INTEREST_RATE_SARON
2004-04;0.108065;INTEREST_RATE_SARON
2004-05;0.112946;INTEREST_RATE_SARON
2004-06;0.360676;INTEREST_RATE_SARON
2004-07;0.1953;INTEREST_RATE_SARON
2004-08;0.173508;INTEREST_RATE_SARON
2004-09;0.53447;INTEREST_RATE_SARON
2004-10;0.63083;INTEREST_RATE_SARON
2004-11;0.503354;INTEREST_RATE_SARON
2004-12;0.497394;INTEREST_RATE_SARON
2005-01;0.654176;INTEREST_RATE_SARON
2005-02;0.67587;INTEREST_RATE_SARON
2005-03;0.809343;INTEREST_RATE_SARON
2005-04;0.646173;INTEREST_RATE_SARON
2005-05;0.665846;INTEREST_RATE_SARON
2005-06;0.631008;INTEREST_RATE_SARON
2005-07;0.678098;INTEREST_RATE_SARON
2005-08;0.677405;INTEREST_RATE_SARON
2005-09;0.674366;INTEREST_RATE_SARON
2005-10;0.673334;INTEREST_RATE_SARON
2005-11;0.68404;INTEREST_RATE_SARON
2005-12;0.609864;INTEREST_RATE_SARON
2006-01;0.828563;INTEREST_RATE_SARON
2006-02;0.895374;INTEREST_RATE_SARON
2006-03;1.05294;INTEREST_RATE_SARON
2006-04;1.187275;INTEREST_RATE_SARON
2006-05;1.11309;INTEREST_RATE_SARON
2006-06;1.242492;INTEREST_RATE_SARON
2006-07;1.345125;INTEREST_RATE_SARON
2006-08;1.370228;INTEREST_RATE_SARON
2006-09;1.682963;INTEREST_RATE_SARON
2006-10;1.627171;INTEREST_RATE_SARON
2006-11;1.768215;INTEREST_RATE_SARON
2006-12;1.897995;INTEREST_RATE_SARON
2007-01;1.905279;INTEREST_RATE_SARON
2007-02;1.835111;INTEREST_RATE_SARON
2007-03;1.979335;INTEREST_RATE_SARON
2007-04;2.066636;INTEREST_RATE_SARON
2007-05;2.165807;INTEREST_RATE_SARON
2007-06;2.418879;INTEREST_RATE_SARON
2007-07;2.490651;INTEREST_RATE_SARON
2007-08;2.3134;INTEREST_RATE_SARON
2007-09;2.209981;INTEREST_RATE_SARON
2007-10;2.118889;INTEREST_RATE_SARON
2007-11;2.115592;INTEREST_RATE_SARON
2007-12;1.873853;INTEREST_RATE_SARON
2008-01;2.241335;INTEREST_RATE_SARON
2008-02;2.240998;INTEREST_RATE_SARON
2008-03;1.894609;INTEREST_RATE_SARON
2008-04;1.850478;INTEREST_RATE_SARON
2008-05;1.796851;INTEREST_RATE_SARON
2008-06;1.860357;INTEREST_RATE_SARON
2008-07;1.955679;INTEREST_RATE_SARON
2008-08;1.933609;INTEREST_RATE_SARON
2008-09;1.666335;INTEREST_RATE_SARON
2008-10;0.522862;INTEREST_RATE_SARON
2008-11;0.03909;INTEREST_RATE_SARON
2008-12;0.019608;INTEREST_RATE_SARON
2009-01;0.080879;INTEREST_RATE_SARON
2009-02;0.035864;INTEREST_RATE_SARON
2009-03;0.031394;INTEREST_RATE_SARON
2009-04;0.03359;INTEREST_RATE_SARON
2009-05;0.034996;INTEREST_RATE_SARON
2009-06;0.020048;INTEREST_RATE_SARON
2009-07;0.016977;INTEREST_RATE_SARON
2009-08;0.018446;INTEREST_RATE_SARON
2009-09;0.024256;INTEREST_RATE_SARON
2009-10;0.045043;INTEREST_RATE_SARON
2009-11;0.043573;INTEREST_RATE_SARON
2009-12;0.031984;INTEREST_RATE_SARON
2010-01;0.027068;INTEREST_RATE_SARON
2010-02;0.037635;INTEREST_RATE_SARON
2010-03;0.052509;INTEREST_RATE_SARON
2010-04;0.027666;INTEREST_RATE_SARON
2010-05;0.016089;INTEREST_RATE_SARON
2010-06;0.059386;INTEREST_RATE_SARON
2010-07;0.079548;INTEREST_RATE_SARON
2010-08;0.318768;INTEREST_RATE_SARON
2010-09;0.093595;INTEREST_RATE_SARON
2010-10;0.058606;INTEREST_RATE_SARON
2010-11;0.15866;INTEREST_RATE_SARON
2010-12;0.050282;INTEREST_RATE_SARON
2011-01;0.10152;INTEREST_RATE_SARON
2011-02;0.078858;INTEREST_RATE_SARON
2011-03;0.083753;INTEREST_RATE_SARON
2011-04;0.030437;INTEREST_RATE_SARON
2011-05;0.02816;INTEREST_RATE_SARON
2011-06;0.07111;INTEREST_RATE_SARON
2011-07;0.05025;INTEREST_RATE_SARON
2011-08;-0.009758;INTEREST_RATE_SARON
2011-09;0.008339;INTEREST_RATE_SARON
2011-10;0.002873;INTEREST_RATE_SARON
2011-11;0.02014;INTEREST_RATE_SARON
2011-12;0.018136;INTEREST_RATE_SARON
2012-01;-0.012948;INTEREST_RATE_SARON
2012-02;-0.001064;INTEREST_RATE_SARON
2012-03;0.007232;INTEREST_RATE_SARON
2012-04;-0.017135;INTEREST_RATE_SARON
2012-05;0.016374;INTEREST_RATE_SARON
2012-06;0.027838;INTEREST_RATE_SARON
2012-07;-0.057817;INTEREST_RATE_SARON
2012-08;-0.023866;INTEREST_RATE_SARON
2012-09;0.022813;INTEREST_RATE_SARON
2012-10;-0.027541;INTEREST_RATE_SARON
2012-11;0.04;INTEREST_RATE_SARON
2012-12;0.032766;INTEREST_RATE_SARON
2013-01;-0.028182;INTEREST_RATE_SARON
2013-02;-0.035067;INTEREST_RATE_SARON
2013-03;-0.017292;INTEREST_RATE_SARON
2013-04;-0.008163;INTEREST_RATE_SARON
2013-05;-0.024285;INTEREST_RATE_SARON
2013-06;0.004224;INTEREST_RATE_SARON
2013-07;-0.005746;INTEREST_RATE_SARON
2013-08;0.010574;INTEREST_RATE_SARON
2013-09;-0.001193;INTEREST_RATE_SARON
2013-10;-0.016479;INTEREST_RATE_SARON
2013-11;-0.033343;INTEREST_RATE_SARON
2013-12;0.089315;INTEREST_RATE_SARON
2014-01;-0.015391;INTEREST_RATE_SARON
2014-02;-0.02602;INTEREST_RATE_SARON
2014-03;-0.000316;INTEREST_RATE_SARON
2014-04;-0.038873;INTEREST_RATE_SARON
2014-05;-0.022355;INTEREST_RATE_SARON
2014-06;-0.036625;INTEREST_RATE_SARON
2014-07;-0.034751;INTEREST_RATE_SARON
2014-08;0.006218;INTEREST_RATE_SARON
2014-09;0.01231;INTEREST_RATE_SARON
2014-10;-0.034484;INTEREST_RATE_SARON
2014-11;-0.015032;INTEREST_RATE_SARON
2014-12;0.003368;INTEREST_RATE_SARON
2015-01;-0.678498;INTEREST_RATE_SARON
2015-02;-0.7561;INTEREST_RATE_SARON
2015-03;-0.730568;INTEREST_RATE_SARON
2015-04;-0.722648;INTEREST_RATE_SARON
2015-05;-0.726401;INTEREST_RATE_SARON
2015-06;-0.727129;INTEREST_RATE_SARON
2015-07;-0.738677;INTEREST_RATE_SARON
2015-08;-0.724588;INTEREST_RATE_SARON
2015-09;-0.719895;INTEREST_RATE_SARON
2015-10;-0.724732;INTEREST_RATE_SARON
2015-11;-0.72187;INTEREST_RATE_SARON
2015-12;-0.721086;INTEREST_RATE_SARON
2016-01;-0.723007;INTEREST_RATE_SARON
2016-02;-0.733788;INTEREST_RATE_SARON
2016-03;-0.737954;INTEREST_RATE_SARON
2016-04;-0.726368;INTEREST_RATE_SARON
2016-05;-0.729792;INTEREST_RATE_SARON
2016-06;-0.765593;INTEREST_RATE_SARON
2016-07;-0.745432;INTEREST_RATE_SARON
2016-08;-0.731087;INTEREST_RATE_SARON
2016-09;-0.744965;INTEREST_RATE_SARON
2016-10;-0.729412;INTEREST_RATE_SARON
2016-11;-0.728146;INTEREST_RATE_SARON
2016-12;-0.731921;INTEREST_RATE_SARON
2017-01;-0.732656;INTEREST_RATE_SARON
2017-02;-0.72986;INTEREST_RATE_SARON
2017-03;-0.737014;INTEREST_RATE_SARON
2017-04;-0.738899;INTEREST_RATE_SARON
2017-05;-0.734836;INTEREST_RATE_SARON
2017-06;-0.734155;INTEREST_RATE_SARON
2017-07;-0.732636;INTEREST_RATE_SARON
2017-08;-0.732305;INTEREST_RATE_SARON
2017-09;-0.742996;INTEREST_RATE_SARON
2017-10;-0.737404;INTEREST_RATE_SARON
2017-11;-0.736376;INTEREST_RATE_SARON
2017-12;-0.746149;INTEREST_RATE_SARON
2018-01;-0.740278;INTEREST_RATE_SARON
2018-02;-0.759249;INTEREST_RATE_SARON
2018-03;-0.73834;INTEREST_RATE_SARON
2018-04;-0.729806;INTEREST_RATE_SARON
2018-05;-0.728226;INTEREST_RATE_SARON
2018-06;-0.730086;INTEREST_RATE_SARON
2018-07;-0.730823;INTEREST_RATE_SARON
2018-08;-0.731997;INTEREST_RATE_SARON
2018-09;-0.785767;INTEREST_RATE_SARON
2018-10;-0.73731;INTEREST_RATE_SARON
2018-11;-0.732697;INTEREST_RATE_SARON
2018-12;-0.730971;INTEREST_RATE_SARON
2019-01;-0.731819;INTEREST_RATE_SARON
2019-02;-0.738785;INTEREST_RATE_SARON
2019-03;-0.737656;INTEREST_RATE_SARON
2019-04;-0.73173;INTEREST_RATE_SARON
2019-05;-0.73687;INTEREST_RATE_SARON
2019-06;-0.74023;INTEREST_RATE_SARON
2019-07;-0.74512;INTEREST_RATE_SARON
2019-08;-0.74726;INTEREST_RATE_SARON
2019-09;-0.74627;INTEREST_RATE_SARON
2019-10;-0.73297;INTEREST_RATE_SARON
2019-11;-0.7065;INTEREST_RATE_SARON
2019-12;-0.65925;INTEREST_RATE_SARON
2020-01;-0.70191;INTEREST_RATE_SARON
2020-02;-0.70741;INTEREST_RATE_SARON
2020-03;-0.66619;INTEREST_RATE_SARON
2020-04;-0.65946;INTEREST_RATE_SARON
2020-05;-0.65962;INTEREST_RATE_SARON
2020-06;-0.66239;INTEREST_RATE_SARON
2020-07;-0.7037;INTEREST_RATE_SARON
2020-08;-0.70568;INTEREST_RATE_SARON
2020-09;-0.71371;INTEREST_RATE_SARON
2020-10;-0.71804;INTEREST_RATE_SARON
2020-11;-0.72109;INTEREST_RATE_SARON
2020-12;-0.726264;INTEREST_RATE_SARON
2021-01;-0.725018;INTEREST_RATE_SARON
2021-02;-0.725267;INTEREST_RATE_SARON
2021-03;-0.72334;INTEREST_RATE_SARON
2021-04;-0.725071;INTEREST_RATE_SARON